policy,asset_id,asset_type,site,alert_date,service_date,event_id,outcome,in_evaluation_window,planned_cost_cad,planned_downtime_hours
fixed_90_day,AB-001,pumpjack,Peace River,2025-05-27,2025-05-27,,no_actionable_failure,1,1600,4
fixed_90_day,AB-002,compressor,Grande Prairie,2025-04-05,2025-04-05,,no_actionable_failure,1,4000,8
fixed_90_day,AB-003,pipeline_pump,Red Deer,2025-04-23,2025-04-23,,no_actionable_failure,1,2400,6
fixed_90_day,AB-004,pumpjack,Lloydminster,2025-04-09,2025-04-09,,no_actionable_failure,1,1600,4
fixed_90_day,AB-005,compressor,Peace River,2025-05-02,2025-05-02,,no_actionable_failure,1,4000,8
fixed_90_day,AB-006,pipeline_pump,Grande Prairie,2025-03-26,2025-03-26,,no_actionable_failure,0,2400,6
fixed_90_day,AB-006,pipeline_pump,Grande Prairie,2025-06-24,2025-06-24,,no_actionable_failure,1,2400,6
fixed_90_day,AB-007,pumpjack,Red Deer,2025-05-29,2025-05-29,,no_actionable_failure,1,1600,4
fixed_90_day,AB-008,compressor,Lloydminster,2025-05-19,2025-05-19,,no_actionable_failure,1,4000,8
fixed_90_day,AB-009,pipeline_pump,Peace River,2025-04-25,2025-04-25,,no_actionable_failure,1,2400,6
fixed_90_day,AB-010,pumpjack,Grande Prairie,2025-05-21,2025-05-21,E-AB-010-03,intervention_unsuccessful,1,1600,4
fixed_90_day,AB-011,compressor,Red Deer,2025-03-15,2025-03-15,,no_actionable_failure,0,4000,8
fixed_90_day,AB-011,compressor,Red Deer,2025-06-13,2025-06-13,E-AB-011-03,prevented_failure,1,4000,8
fixed_90_day,AB-012,pipeline_pump,Lloydminster,2025-03-31,2025-03-31,,no_actionable_failure,0,2400,6
fixed_90_day,AB-012,pipeline_pump,Lloydminster,2025-06-29,2025-06-29,,no_actionable_failure,1,2400,6
fixed_90_day,AB-013,pumpjack,Peace River,2025-04-08,2025-04-08,E-AB-013-03,prevented_failure,1,1600,4
fixed_90_day,AB-014,compressor,Grande Prairie,2025-04-12,2025-04-12,,no_actionable_failure,1,4000,8
fixed_90_day,AB-015,pipeline_pump,Red Deer,2025-05-29,2025-05-29,,no_actionable_failure,1,2400,6
fixed_90_day,AB-016,pumpjack,Lloydminster,2025-04-10,2025-04-10,,no_actionable_failure,1,1600,4
fixed_90_day,AB-017,compressor,Peace River,2025-03-27,2025-03-27,,no_actionable_failure,0,4000,8
fixed_90_day,AB-017,compressor,Peace River,2025-06-25,2025-06-25,,no_actionable_failure,1,4000,8
fixed_90_day,AB-018,pipeline_pump,Grande Prairie,2025-05-03,2025-05-03,,no_actionable_failure,1,2400,6
fixed_90_day,AB-019,pumpjack,Red Deer,2025-05-05,2025-05-05,,no_actionable_failure,1,1600,4
fixed_90_day,AB-020,compressor,Lloydminster,2025-03-28,2025-03-28,,no_actionable_failure,0,4000,8
fixed_90_day,AB-020,compressor,Lloydminster,2025-06-26,2025-06-26,,no_actionable_failure,1,4000,8
fixed_90_day,AB-021,pipeline_pump,Peace River,2025-05-02,2025-05-02,E-AB-021-04,prevented_failure,1,2400,6
fixed_90_day,AB-022,pumpjack,Grande Prairie,2025-03-14,2025-03-14,,no_actionable_failure,0,1600,4
fixed_90_day,AB-022,pumpjack,Grande Prairie,2025-06-12,2025-06-12,,no_actionable_failure,1,1600,4
fixed_90_day,AB-023,compressor,Red Deer,2025-04-15,2025-04-15,E-AB-023-03,prevented_failure,1,4000,8
fixed_90_day,AB-024,pipeline_pump,Lloydminster,2025-05-28,2025-05-28,,no_actionable_failure,1,2400,6
fixed_90_day,AB-025,pumpjack,Peace River,2025-04-27,2025-04-27,,no_actionable_failure,1,1600,4
fixed_90_day,AB-026,compressor,Grande Prairie,2025-04-09,2025-04-09,,no_actionable_failure,1,4000,8
fixed_90_day,AB-027,pipeline_pump,Red Deer,2025-04-20,2025-04-20,,no_actionable_failure,1,2400,6
fixed_90_day,AB-028,pumpjack,Lloydminster,2025-03-24,2025-03-24,,no_actionable_failure,0,1600,4
fixed_90_day,AB-028,pumpjack,Lloydminster,2025-06-22,2025-06-22,,no_actionable_failure,1,1600,4
fixed_90_day,AB-029,compressor,Peace River,2025-04-07,2025-04-07,,no_actionable_failure,1,4000,8
fixed_90_day,AB-030,pipeline_pump,Grande Prairie,2025-03-10,2025-03-10,,no_actionable_failure,0,2400,6
fixed_90_day,AB-030,pipeline_pump,Grande Prairie,2025-06-08,2025-06-08,,no_actionable_failure,1,2400,6
fixed_90_day,AB-031,pumpjack,Red Deer,2025-05-01,2025-05-01,,no_actionable_failure,1,1600,4
fixed_90_day,AB-032,compressor,Lloydminster,2025-05-01,2025-05-01,,no_actionable_failure,1,4000,8
fixed_90_day,AB-033,pipeline_pump,Peace River,2025-03-12,2025-03-12,,no_actionable_failure,0,2400,6
fixed_90_day,AB-033,pipeline_pump,Peace River,2025-06-10,2025-06-10,E-AB-033-04,prevented_failure,1,2400,6
